OBJECTID,DPTO_CCDGO,DPTO_NAREA,DEPTO,P_ALCANSI,P_ALCANNO,P_ACUESI,P_ACUENO,P_GASNSI,P_GASNNO,P_GASNNOIN,P_TELEFSI,P_TELEFNO,P_TELEFNOI,ShapeSTArea,ShapeSTLength
1,88,49602.13763189,"SAN ANDRES,PROVIDENCIA Y SANTA CATALINA",1862,13702,7430,8134,0,15564,0,7424,8127,13,51673001.0742188,73509.1740892797
2,05,63063325603.3,ANTIOQUIA,1137958,263803,1216964,184797,197243,1203087,1433,997899,399369,4495,64365072198.8774,2362935.0986015
3,08,3326730008.33,ATLANTICO,324105,104523,380235,48393,351901,75761,966,173922,253938,768,3465678943.01367,276842.245174132
4,11,1633209262.44,BOGOTA,1663224,35334,1674575,23983,1354791,342519,1251,1490155,206912,1494,1653399227.82666,416082.06788255
5,13,26665590821.3,BOLIVAR,167364,209951,267730,109585,217272,158944,1099,111126,264642,1547,27474937843.3921,1760745.99347993
6,15,23077053533.8,BOYACA,167877,138252,240672,65457,64555,241206,370,89508,215544,1079,23458057377.4675,1705962.83209445
7,17,7415932692.9,CALDAS,201184,37599,211834,26949,18762,219910,115,120686,117335,766,7526357597.24414,737935.98285493
8,18,90076650375.9,CAQUETA,42930,31162,50244,23848,0,74092,0,17319,54413,2360,90677442339.728,2210092.63773139
9,19,30643309692.5,CAUCA,117025,149331,175786,90570,0,266356,0,63194,198316,4846,30830385979.8524,1486987.96400377
10,20,22283670028.7,CESAR,125066,66029,156400,34695,76855,113803,437,49109,140982,1004,23060983003.1279,1412424.08248055
11,23,25041935532.1,CORDOBA,67885,233523,161637,139771,89404,211531,474,73518,227090,801,25724503374.9233,1005385.67497104
12,25,22368383444.1,CUNDINAMARCA,355386,184533,437597,102322,153824,385394,703,229466,308305,2150,22676063052.3645,1445595.55280191
13,27,47579077175.6,CHOCO,13731,72675,19458,66948,0,86406,0,15537,65945,4924,48305779362.7468,2131903.16681536
14,41,18711021019.1,HUILA,156586,76207,188112,44681,102170,129912,711,93250,138545,998,18860297397.2185,1091970.44457318
15,44,20670666607.9,LA GUAJIRA,45331,73115,60723,57723,40990,74511,2946,20927,94043,3477,21637131602.376,1141999.14342618
16,47,23205726282.5,MAGDALENA,93973,139567,159622,73918,94948,137855,737,56380,176211,949,24115604639.8652,1205791.46072644
17,50,85485545028.4,META,134288,36063,133910,36441,86875,83267,209,80545,88996,810,86297829929.7583,1945258.20613417
18,52,31649908982.1,NARIÑO,150739,170566,227605,93700,0,321305,0,71771,244239,5295,31745147136.0037,1204683.57083133
19,54,22023022884.6,NORTE DE SANTANDER,215253,61825,230613,46465,64963,211473,642,102845,172647,1586,22604473655.5337,1245666.59786508
20,63,1935383829.55,QUINDIO,126769,10078,132367,4480,47317,89357,173,74359,62279,209,1958461154.06909,279619.146089151
21,66,3978381258.68,RISARALDA,197285,22107,204409,14983,69721,149456,216,144611,74278,504,4032558974.82593,572840.384374365
22,68,30596831607.2,SANTANDER,326420,124130,371942,78608,252494,197107,950,261232,187761,1558,31217858220.1816,1279817.65227548
23,70,10709151724.8,SUCRE,77274,81879,117075,42078,72830,86053,270,42359,116420,374,11048238868.4116,911777.929065955
24,73,23983356256.7,TOLIMA,231327,97194,267605,60916,117341,210116,1065,135293,191482,1747,24253859727.7312,1038471.3223911
25,76,21269355545.1,VALLE DEL CAUCA,876082,100766,918254,58594,456890,518684,1280,634056,339639,3159,21467534787.4998,1163542.51300211
26,81,23805557612,ARAUCA,23217,10297,27967,5547,0,33514,0,12633,20604,277,24203791714.9233,1022863.55023272
27,85,44483997372.1,CASANARE,42928,23713,47697,18944,0,66642,0,20930,45546,166,45088507279.2144,1319694.96770726
28,86,25893760987.4,PUTUMAYO,29212,31851,26890,34173,29,60562,472,9763,46255,5045,26039264039.2145,1410742.53796409
29,91,110046458883,AMAZONAS,3862,5547,5083,4326,0,9409,0,2474,6352,583,110608839940.82,2755999.17439667
30,94,71567454637.3,GUAINIA,822,3514,1329,3007,0,4336,0,662,3488,186,71584462039.8152,2171249.64531347
31,95,55453915266.9,GUAVIARE,4566,7781,4433,7914,0,12347,0,1875,9930,542,55814617035.9509,2086708.87241893
32,97,53543583850.6,VAUPES,1439,1802,2145,1096,0,3242,0,554,2568,120,53706604728.4489,2142288.29224717
33,99,100014402552,VICHADA,533,8055,3743,4845,0,8588,0,647,7525,416,100679540002.893,1915722.12630026
